"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2016";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";39
"2016";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";30
"2016";"Državljani RS";"Moški";"Druge dejavnosti";7
"2016";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2016";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2016";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";12
"2016";"Državljani RS";"Ženske";"Rudarstvo";3
"2016";"Državljani RS";"Ženske";"Predelovalne dejavnosti";114
"2016";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";2
"2016";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";5
"2016";"Državljani RS";"Ženske";"Gradbeništvo";37
"2016";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";123
"2016";"Državljani RS";"Ženske";"Promet in skladišèenje";24
"2016";"Državljani RS";"Ženske";"Gostinstvo";60
"2016";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";30
"2016";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";25
"2016";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";4
"2016";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";114
"2016";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";38
"2016";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";48
"2016";"Državljani RS";"Ženske";"Izobraževanje";75
"2016";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";111
"2016";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";11
"2016";"Državljani RS";"Ženske";"Druge dejavnosti";18
"2016";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2016";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2017";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";17
"2017";"Državljani RS";"Moški";"Rudarstvo";5
"2017";"Državljani RS";"Moški";"Predelovalne dejavnosti";295
"2017";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";8
