"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2010";"... druge države èlanice EU";"Študij";...
"2010";"... druge države èlanice EU";"Drugo";...
"2010";"... druge države èlanice EU";"Neznano";...
"2010";"Bosna in Hercegovina";"Zaposlitev";2965
"2010";"Bosna in Hercegovina";"Sezonsko delo";...
"2010";"Bosna in Hercegovina";"Združitev z družino";1106
"2010";"Bosna in Hercegovina";"Študij";23
"2010";"Bosna in Hercegovina";"Drugo";30
"2010";"Bosna in Hercegovina";"Neznano";279
"2010";"Hrvaška";"Zaposlitev";558
"2010";"Hrvaška";"Sezonsko delo";...
"2010";"Hrvaška";"Združitev z družino";175
"2010";"Hrvaška";"Študij";76
"2010";"Hrvaška";"Drugo";50
"2010";"Hrvaška";"Neznano";69
"2010";"Srbija";"Zaposlitev";737
"2010";"Srbija";"Sezonsko delo";...
"2010";"Srbija";"Združitev z družino";223
"2010";"Srbija";"Študij";19
"2010";"Srbija";"Drugo";26
"2010";"Srbija";"Neznano";84
"2010";"Srbija in Èrna gora";"Zaposlitev";...
"2010";"Srbija in Èrna gora";"Sezonsko delo";...
"2010";"Srbija in Èrna gora";"Združitev z družino";...
"2010";"Srbija in Èrna gora";"Študij";...
"2010";"Srbija in Èrna gora";"Drugo";...
"2010";"Srbija in Èrna gora";"Neznano";...
"2010";"Èrna gora";"Zaposlitev";49
"2010";"Èrna gora";"Sezonsko delo";...
"2010";"Èrna gora";"Združitev z družino";26
"2010";"Èrna gora";"Študij";5
"2010";"Èrna gora";"Drugo";5
"2010";"Èrna gora";"Neznano";2
"2010";"Kosovo";"Zaposlitev";1204
"2010";"Kosovo";"Sezonsko delo";...
"2010";"Kosovo";"Združitev z družino";542
"2010";"Kosovo";"Študij";3
"2010";"Kosovo";"Drugo";21
"2010";"Kosovo";"Neznano";118
"2010";"Druge evropske države";"Zaposlitev";917
"2010";"Druge evropske države";"Sezonsko delo";...
"2010";"Druge evropske države";"Združitev z družino";512
"2010";"Druge evropske države";"Študij";46
"2010";"Druge evropske države";"Drugo";19
"2010";"Druge evropske države";"Neznano";106
"2010";"Neevropske države";"Zaposlitev";410
"2010";"Neevropske države";"Sezonsko delo";...
"2010";"Neevropske države";"Združitev z družino";154
"2010";"Neevropske države";"Študij";9
"2010";"Neevropske države";"Drugo";21
"2010";"Neevropske države";"Neznano";43
"2010";"Neznano";"Zaposlitev";20
"2010";"Neznano";"Sezonsko delo";...
"2010";"Neznano";"Združitev z družino";18
"2010";"Neznano";"Študij";0
"2010";"Neznano";"Drugo";7
"2010";"Neznano";"Neznano";3
"2011";"Države EU";"Zaposlitev";1201
"2011";"Države EU";"Sezonsko delo";...
"2011";"Države EU";"Združitev z družino";348
"2011";"Države EU";"Študij";33
"2011";"Države EU";"Drugo";388
"2011";"Države EU";"Neznano";20
"2011";"... Hrvaška";"Zaposlitev";...
"2011";"... Hrvaška";"Sezonsko delo";...
"2011";"... Hrvaška";"Združitev z družino";...
"2011";"... Hrvaška";"Študij";...
"2011";"... Hrvaška";"Drugo";...
"2011";"... Hrvaška";"Neznano";...
"2011";"... druge države èlanice EU";"Zaposlitev";...
"2011";"... druge države èlanice EU";"Sezonsko delo";...
"2011";"... druge države èlanice EU";"Združitev z družino";...
"2011";"... druge države èlanice EU";"Študij";...
"2011";"... druge države èlanice EU";"Drugo";...
"2011";"... druge države èlanice EU";"Neznano";...
"2011";"Bosna in Hercegovina";"Zaposlitev";1628
"2011";"Bosna in Hercegovina";"Sezonsko delo";...
"2011";"Bosna in Hercegovina";"Združitev z družino";1571
"2011";"Bosna in Hercegovina";"Študij";59
"2011";"Bosna in Hercegovina";"Drugo";28
"2011";"Bosna in Hercegovina";"Neznano";101
"2011";"Hrvaška";"Zaposlitev";397
"2011";"Hrvaška";"Sezonsko delo";...
"2011";"Hrvaška";"Združitev z družino";298
"2011";"Hrvaška";"Študij";137
"2011";"Hrvaška";"Drugo";85
"2011";"Hrvaška";"Neznano";28
"2011";"Srbija";"Zaposlitev";738
"2011";"Srbija";"Sezonsko delo";...
"2011";"Srbija";"Združitev z družino";356
"2011";"Srbija";"Študij";37
"2011";"Srbija";"Drugo";10
"2011";"Srbija";"Neznano";33
"2011";"Srbija in Èrna gora";"Zaposlitev";...
"2011";"Srbija in Èrna gora";"Sezonsko delo";...
"2011";"Srbija in Èrna gora";"Združitev z družino";...
"2011";"Srbija in Èrna gora";"Študij";...
"2011";"Srbija in Èrna gora";"Drugo";...
"2011";"Srbija in Èrna gora";"Neznano";...
"2011";"Èrna gora";"Zaposlitev";19
"2011";"Èrna gora";"Sezonsko delo";...
"2011";"Èrna gora";"Združitev z družino";52
"2011";"Èrna gora";"Študij";9
"2011";"Èrna gora";"Drugo";0
"2011";"Èrna gora";"Neznano";0
"2011";"Kosovo";"Zaposlitev";422
"2011";"Kosovo";"Sezonsko delo";...
"2011";"Kosovo";"Združitev z družino";728
"2011";"Kosovo";"Študij";29
"2011";"Kosovo";"Drugo";5
"2011";"Kosovo";"Neznano";46
"2011";"Druge evropske države";"Zaposlitev";582
"2011";"Druge evropske države";"Sezonsko delo";...
"2011";"Druge evropske države";"Združitev z družino";691
"2011";"Druge evropske države";"Študij";106
"2011";"Druge evropske države";"Drugo";21
"2011";"Druge evropske države";"Neznano";35
"2011";"Neevropske države";"Zaposlitev";205
"2011";"Neevropske države";"Sezonsko delo";...
"2011";"Neevropske države";"Združitev z družino";260
"2011";"Neevropske države";"Študij";27
"2011";"Neevropske države";"Drugo";19
"2011";"Neevropske države";"Neznano";13
"2011";"Neznano";"Zaposlitev";0
"2011";"Neznano";"Sezonsko delo";...
"2011";"Neznano";"Združitev z družino";0
"2011";"Neznano";"Študij";0
"2011";"Neznano";"Drugo";0
"2011";"Neznano";"Neznano";0
"2012";"Države EU";"Zaposlitev";1224
"2012";"Države EU";"Sezonsko delo";...
"2012";"Države EU";"Združitev z družino";432
"2012";"Države EU";"Študij";40
"2012";"Države EU";"Drugo";464
"2012";"Države EU";"Neznano";19
"2012";"... Hrvaška";"Zaposlitev";...
"2012";"... Hrvaška";"Sezonsko delo";...
"2012";"... Hrvaška";"Združitev z družino";...
"2012";"... Hrvaška";"Študij";...
"2012";"... Hrvaška";"Drugo";...
"2012";"... Hrvaška";"Neznano";...
"2012";"... druge države èlanice EU";"Zaposlitev";...
"2012";"... druge države èlanice EU";"Sezonsko delo";...
"2012";"... druge države èlanice EU";"Združitev z družino";...
"2012";"... druge države èlanice EU";"Študij";...
"2012";"... druge države èlanice EU";"Drugo";...
"2012";"... druge države èlanice EU";"Neznano";...
"2012";"Bosna in Hercegovina";"Zaposlitev";1973
"2012";"Bosna in Hercegovina";"Sezonsko delo";...
"2012";"Bosna in Hercegovina";"Združitev z družino";1904
"2012";"Bosna in Hercegovina";"Študij";83
"2012";"Bosna in Hercegovina";"Drugo";33
"2012";"Bosna in Hercegovina";"Neznano";52
"2012";"Hrvaška";"Zaposlitev";618
"2012";"Hrvaška";"Sezonsko delo";...
"2012";"Hrvaška";"Združitev z družino";287
"2012";"Hrvaška";"Študij";149
"2012";"Hrvaška";"Drugo";46
"2012";"Hrvaška";"Neznano";12
"2012";"Srbija";"Zaposlitev";808
"2012";"Srbija";"Sezonsko delo";...
"2012";"Srbija";"Združitev z družino";431
"2012";"Srbija";"Študij";47
"2012";"Srbija";"Drugo";24
"2012";"Srbija";"Neznano";30
"2012";"Srbija in Èrna gora";"Zaposlitev";...
"2012";"Srbija in Èrna gora";"Sezonsko delo";...
"2012";"Srbija in Èrna gora";"Združitev z družino";...
"2012";"Srbija in Èrna gora";"Študij";...
"2012";"Srbija in Èrna gora";"Drugo";...
"2012";"Srbija in Èrna gora";"Neznano";...
"2012";"Èrna gora";"Zaposlitev";18
"2012";"Èrna gora";"Sezonsko delo";...
"2012";"Èrna gora";"Združitev z družino";42
"2012";"Èrna gora";"Študij";11
"2012";"Èrna gora";"Drugo";2
"2012";"Èrna gora";"Neznano";3
"2012";"Kosovo";"Zaposlitev";431
"2012";"Kosovo";"Sezonsko delo";...
"2012";"Kosovo";"Združitev z družino";879
"2012";"Kosovo";"Študij";17
"2012";"Kosovo";"Drugo";7
"2012";"Kosovo";"Neznano";25
"2012";"Druge evropske države";"Zaposlitev";619
"2012";"Druge evropske države";"Sezonsko delo";...
"2012";"Druge evropske države";"Združitev z družino";839
"2012";"Druge evropske države";"Študij";142
"2012";"Druge evropske države";"Drugo";10
"2012";"Druge evropske države";"Neznano";23
"2012";"Neevropske države";"Zaposlitev";222
"2012";"Neevropske države";"Sezonsko delo";...
"2012";"Neevropske države";"Združitev z družino";261
"2012";"Neevropske države";"Študij";23
"2012";"Neevropske države";"Drugo";28
"2012";"Neevropske države";"Neznano";3
"2012";"Neznano";"Zaposlitev";0
"2012";"Neznano";"Sezonsko delo";...
"2012";"Neznano";"Združitev z družino";0
"2012";"Neznano";"Študij";0
"2012";"Neznano";"Drugo";0
"2012";"Neznano";"Neznano";0
"2013";"Države EU";"Zaposlitev";1338
"2013";"Države EU";"Sezonsko delo";...
"2013";"Države EU";"Združitev z družino";363
"2013";"Države EU";"Študij";51
"2013";"Države EU";"Drugo";280
"2013";"Države EU";"Neznano";50
"2013";"... Hrvaška";"Zaposlitev";...
"2013";"... Hrvaška";"Sezonsko delo";...
"2013";"... Hrvaška";"Združitev z družino";...
"2013";"... Hrvaška";"Študij";...
"2013";"... Hrvaška";"Drugo";...
"2013";"... Hrvaška";"Neznano";...
"2013";"... druge države èlanice EU";"Zaposlitev";...
"2013";"... druge države èlanice EU";"Sezonsko delo";...
"2013";"... druge države èlanice EU";"Združitev z družino";...
"2013";"... druge države èlanice EU";"Študij";...
"2013";"... druge države èlanice EU";"Drugo";...
"2013";"... druge države èlanice EU";"Neznano";...
"2013";"Bosna in Hercegovina";"Zaposlitev";1713
"2013";"Bosna in Hercegovina";"Sezonsko delo";...
"2013";"Bosna in Hercegovina";"Združitev z družino";1974
"2013";"Bosna in Hercegovina";"Študij";73
"2013";"Bosna in Hercegovina";"Drugo";34
"2013";"Bosna in Hercegovina";"Neznano";52
"2013";"Hrvaška";"Zaposlitev";719
